GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.member,MemberResponse.MemberResponseBuilder,46,0,0,0,1,0,7,0,7,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.member,MemberCreateRequest,12,0,0,0,4,0,4,0,4,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.member,MemberResponse,49,0,0,0,13,0,8,0,8,0
illuwa,com.nhnacademy.illuwa.domain.coupons.entity.status,CouponType,0,21,0,0,0,4,0,1,0,1
illuwa,com.nhnacademy.illuwa.domain.coupons.entity.status,CouponStatus,0,15,0,0,0,3,0,1,0,1
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyCreateRequest,0,40,0,0,0,8,0,8,0,8
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyCreateResponse.CouponPolicyCreateResponseBuilder,24,63,0,0,0,1,1,10,1,10
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyUpdateRequest,0,40,0,0,0,8,0,8,0,8
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyCreateResponse,3,82,0,0,1,20,1,11,1,11
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyUpdateResponse.CouponPolicyUpdateResponseBuilder,22,56,0,0,0,1,1,9,1,9
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyResponse.CouponPolicyResponseBuilder,27,70,0,0,0,1,1,11,1,11
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyCreateRequest.CouponPolicyCreateRequestBuilder,16,42,0,0,0,1,1,7,1,7
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyUpdateResponse,3,73,0,0,1,18,1,10,1,10
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyUpdateRequest.CouponPolicyUpdateRequestBuilder,32,27,0,0,0,1,4,4,4,4
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.couponPolicy,CouponPolicyResponse,5,93,1,1,2,23,2,12,1,12
illuwa,com.nhnacademy.illuwa.common.config,QueryDslConfig,0,9,0,0,0,2,0,2,0,2
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponExpireRequest.MemberCouponExpireRequestBuilder,19,0,0,0,1,0,4,0,4,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponResponse.MemberCouponResponseBuilder,84,0,0,0,1,0,11,0,11,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponResponse,89,0,0,0,21,0,12,0,12,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponCreateRequest,28,0,0,0,6,0,6,0,6,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponUseResponse,51,0,0,0,13,0,8,0,8,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponUseResponse.MemberCouponUseResponseBuilder,46,0,0,0,1,0,7,0,7,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponCreateRequest.MemberCouponCreateRequestBuilder,36,0,0,0,1,0,6,0,6,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.memberCoupon,MemberCouponExpireRequest,16,0,0,0,4,0,4,0,4,0
illuwa,com.nhnacademy.illuwa.domain.order.dto.returnRequest,AdminReturnRequestRegisterDto,125,0,22,0,5,0,21,0,10,0
illuwa,com.nhnacademy.illuwa.domain.order.dto.returnRequest,ReturnRequestResponseDto,335,0,56,0,10,0,48,0,20,0
illuwa,com.nhnacademy.illuwa.domain.order.dto.returnRequest,ReturnRequestCreateRequestDto,125,0,22,0,5,0,21,0,10,0
illuwa,com.nhnacademy.illuwa.domain.order.dto.returnRequest,ReturnRequestListResponseDto,282,0,42,0,9,0,39,0,18,0
illuwa,com.nhnacademy.illuwa.domain.order.dto.returnRequest,ReturnRequestCreateResponseDto,160,0,24,0,6,0,24,0,12,0
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.coupon,CouponCreateRequest.CouponCreateRequestBuilder,20,56,0,0,0,1,1,9,1,9
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.coupon,CouponCreateResponse.CouponCreateResponseBuilder,20,56,0,0,0,1,1,9,1,9
illuwa,com.nhnacademy.illuwa.domain.coupons.dto.coupon,CouponCreateRequest,0,52,0,0,0,10,0,10,0,10
